Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"OPRM1","Opioid Receptor Mu 1","Protein Coding","P35372","61","GC06P163868","2.21201825141907","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPRM1"
"CKMT2","Creatine Kinase, Mitochondrial 2","Protein Coding","P17540","54","GC05P081233","2.21091842651367","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CKMT2"
"CKMT1B","Creatine Kinase, Mitochondrial 1B","Protein Coding","P12532","48","GC15P175206","2.21091842651367","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CKMT1B"
"SMARCA4","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A, Member 4","Protein Coding","P51532","64","GC19P132300","2.2054169178009","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA4"
"PCNA","Proliferating Cell Nuclear Antigen","Protein Coding","P12004","63","GC20M005114","2.20425009727478","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCNA"
"HTN3","Histatin 3","Protein Coding","P15516","43","GC04P070028","2.20258617401123","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTN3"
"POLR1H","RNA Polymerase I Subunit H","Protein Coding","Q9P1U0","45","GC06P172537","2.20135188102722","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR1H"
"GH1","Growth Hormone 1","Protein Coding","P01241","55","GC17M063917","2.19858503341675","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GH1"
"RHOA","Ras Homolog Family Member A","Protein Coding","P61586","62","GC03M049359","2.19648718833923","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOA"
"RPS27A","Ribosomal Protein S27a","Protein Coding","P62979","55","GC02P055231","2.19619822502136","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS27A"
"KRT17","Keratin 17","Protein Coding","Q04695","58","GC17M041619","2.19541168212891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT17"
"APOBEC1","Apolipoprotein B MRNA Editing Enzyme Catalytic Subunit 1","Protein Coding","P41238","50","GC12M007649","2.19521951675415","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOBEC1"
"CD28","CD28 Molecule","Protein Coding","P10747","59","GC02P203706","2.1923201084137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD28"
"PCSK9","Proprotein Convertase Subtilisin/Kexin Type 9","Protein Coding","Q8NBP7","62","GC01P055039","2.19135427474976","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK9"
"BIRC5","Baculoviral IAP Repeat Containing 5","Protein Coding","O15392","58","GC17P078214","2.19070434570313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BIRC5"
"TUBB4A","Tubulin Beta 4A Class IVa","Protein Coding","P04350","59","GC19M100096","2.19014191627502","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB4A"
