Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"MBL2","Mannose Binding Lectin 2","Protein Coding","P11226","59","GC10M052760","4.23724460601807","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBL2"
"ATM","ATM Serine/Threonine Kinase","Protein Coding","Q13315","66","GC11P108223","4.21146488189697","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM"
"BDNF-AS","BDNF Antisense RNA","RNA Gene","","31","GC11P027466","4.20666742324829","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS"
"ICAM1","Intercellular Adhesion Molecule 1","Protein Coding","P05362","63","GC19P132284","4.20449304580688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM1"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","P28482","65","GC22M021759","4.19923257827759","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"CR2","Complement C3d Receptor 2","Protein Coding","P20023","58","GC01P207454","4.19376564025879","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CR2"
"TWNK","Twinkle MtDNA Helicase","Protein Coding","Q96RR1","54","GC10P116450","4.19045209884644","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TWNK"
"PSEN1","Presenilin 1","Protein Coding","P49768","66","GC14P073136","4.18746137619019","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSEN1"
"TMX2-CTNND1","TMX2-CTNND1 Readthrough (NMD Candidate)","RNA Gene","","26","GC11P057712","4.17124080657959","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMX2-CTNND1"
"CD79B","CD79b Molecule","Protein Coding","P40259","58","GC17M063928","4.16300439834595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD79B"
"VCAM1","Vascular Cell Adhesion Molecule 1","Protein Coding","P19320","58","GC01P100719","4.15025234222412","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCAM1"
"TLR3","Toll Like Receptor 3","Protein Coding","O15455","63","GC04P186059","4.14668607711792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR3"
"LACTB","Lactamase Beta","Protein Coding","P83111","50","GC15P177161","4.12949180603027","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LACTB"
"NOD2","Nucleotide Binding Oligomerization Domain Containing 2","Protein Coding","Q9HC29","59","GC16P050693","4.12440872192383","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOD2"
"IL5","Interleukin 5","Protein Coding","P05113","58","GC05M132541","4.12188959121704","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL5"
"FADD","Fas Associated Via Death Domain","Protein Coding","Q13158","59","GC11P070203","4.12105131149292","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FADD"
"KARS1","Lysyl-TRNA Synthetase 1","Protein Coding","Q15046","58","GC16M076057","4.11036062240601","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KARS1"
"LTF","Lactotransferrin","Protein Coding","P02788","58","GC03M046435","4.10592460632324","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTF"
"DLAT","Dihydrolipoamide S-Acetyltransferase","Protein Coding","P10515","58","GC11P112736","4.09084129333496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLAT"
"RARS1","Arginyl-TRNA Synthetase 1","Protein Coding","P54136","56","GC05P168487","4.07885932922363","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARS1"
"LRRK2","Leucine Rich Repeat Kinase 2","Protein Coding","Q5S007","62","GC12P040196","4.06617546081543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRK2"
"FCGR3A","Fc Gamma Receptor IIIa","Protein Coding","P08637","59","GC01M161541","4.06491088867188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR3A"
"GTPBP3","GTP Binding Protein 3, Mitochondrial","Protein Coding","Q969Y2","52","GC19P132600","4.05885791778564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTPBP3"
"HIBCH","3-Hydroxyisobutyryl-CoA Hydrolase","Protein Coding","Q6NVY1","54","GC02M190189","4.0561203956604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIBCH"
"MS4A1","Membrane Spanning 4-Domains A1","Protein Coding","P11836","58","GC11P098544","4.05532693862915","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MS4A1"
"TNFAIP3","TNF Alpha Induced Protein 3","Protein Coding","P21580","62","GC06P137866","4.04975080490112","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFAIP3"
"NOS2","Nitric Oxide Synthase 2","Protein Coding","P35228","62","GC17M027756","4.04925394058228","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS2"
"CD59","CD59 Molecule (CD59 Blood Group)","Protein Coding","P13987","59","GC11M033729","4.04532814025879","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD59"
"HEXA","Hexosaminidase Subunit Alpha","Protein Coding","P06865","59","GC15M072340","4.04216384887695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HEXA"
"MT-ND1","Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 1","Protein Coding","P03886","46","GCMTP003309","4.01885271072388","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ND1"
"DGUOK","Deoxyguanosine Kinase","Protein Coding","Q16854","55","GC02P073926","4.01768779754639","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGUOK"
"NDUFS4","NADH:Ubiquinone Oxidoreductase Subunit S4","Protein Coding","O43181","55","GC05P053560","4.01768779754639","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFS4"
"SDHB","Succinate Dehydrogenase Complex Iron Sulfur Subunit B","Protein Coding","P21912","61","GC01M020330","4.01710605621338","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHB"
"OPA1","OPA1 Mitochondrial Dynamin Like GTPase","Protein Coding","O60313","56","GC03P193594","4.00608062744141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPA1"
"MT-CYB","Mitochondrially Encoded Cytochrome B","Protein Coding","P00156","44","GCMTP014749","4.00562572479248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CYB"
"GARS1","Glycyl-TRNA Synthetase 1","Protein Coding","P41250","58","GC07P030580","3.99792504310608","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GARS1"
"LEP","Leptin","Protein Coding","P41159","59","GC07P128241","3.99685478210449","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEP"
"COQ2","Coenzyme Q2, Polyprenyltransferase","Protein Coding","Q96H96","52","GC04M083261","3.99641990661621","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COQ2"
"NDUFA2","NADH:Ubiquinone Oxidoreductase Subunit A2","Protein Coding","O43678","52","GC05M140815","3.99180769920349","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA2"
"SDHC","Succinate Dehydrogenase Complex Subunit C","Protein Coding","Q99643","55","GC01P161314","3.99050045013428","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHC"
"GCH1","GTP Cyclohydrolase 1","Protein Coding","P30793","59","GC14M054842","3.98631310462952","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCH1"
"AARS2","Alanyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","Q5JTZ9","56","GC06M100582","3.98172283172607","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AARS2"
"HARS2","Histidyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","P49590","56","GC05P155886","3.98172283172607","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HARS2"
"CHCHD10","Coiled-Coil-Helix-Coiled-Coil-Helix Domain Containing 10","Protein Coding","Q8WYQ3","51","GC22M023765","3.98172283172607","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHCHD10"
"SDHA","Succinate Dehydrogenase Complex Flavoprotein Subunit A","Protein Coding","P31040","61","GC05P000235","3.97824501991272","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHA"
"CERNA3","Competing Endogenous LncRNA 3 For MiR-645","RNA Gene","","21","GC08P056381","3.97790741920471","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERNA3"
"LAMP2","Lysosomal Associated Membrane Protein 2","Protein Coding","P13473","57","GC0XM120426","3.97282290458679","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMP2"
"IGHM","Immunoglobulin Heavy Constant Mu","Protein Coding","P01871","45","GC14M122267","3.94993901252747","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGHM"
"MMACHC","Metabolism Of Cobalamin Associated C","Protein Coding","Q9Y4U1","55","GC01P045500","3.94277763366699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMACHC"
"SPG11","SPG11 Vesicle Trafficking Associated, Spatacsin","Protein Coding","Q96JI7","52","GC15M045104","3.93879151344299","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPG11"
"CTC1","CST Telomere Replication Complex Component 1","Protein Coding","Q2NKJ3","48","GC17M088343","3.93879151344299","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTC1"
"PRNP","Prion Protein (Kanno Blood Group)","Protein Coding","F7VJQ1","61","GC20P004686","3.92982935905457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRNP"
"IL12RB1","Interleukin 12 Receptor Subunit Beta 1","Protein Coding","P42701","58","GC19M018058","3.92512941360474","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL12RB1"
"NFE2L2","NFE2 Like BZIP Transcription Factor 2","Protein Coding","Q16236","63","GC02M177227","3.92418265342712","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2"
"SLC25A19","Solute Carrier Family 25 Member 19","Protein Coding","Q9HC21","56","GC17M090357","3.91325974464417","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A19"
"IFIH1","Interferon Induced With Helicase C Domain 1","Protein Coding","Q9BYX4","61","GC02M162267","3.90882420539856","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFIH1"
"AR","Androgen Receptor","Protein Coding","P10275","65","GC0XP067544","3.90199065208435","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR"
"IKBKB","Inhibitor Of Nuclear Factor Kappa B Kinase Subunit Beta","Protein Coding","O14920","66","GC08P042271","3.89854407310486","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IKBKB"
"RN7SL1","RNA Component Of Signal Recognition Particle 7SL1","RNA Gene","","27","GC14P052227","3.88285446166992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RN7SL1"
"NRON","Non-Coding Repressor Of NFAT","RNA Gene","","25","GC09M126407","3.88285446166992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRON"
"HSPA9","Heat Shock Protein Family A (Hsp70) Member 9","Protein Coding","P38646","61","GC05M138554","3.88091564178467","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA9"
"RMND1","Required For Meiotic Nuclear Division 1 Homolog","Protein Coding","Q9NWS8","50","GC06M151404","3.87922883033752","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RMND1"
"CD19","CD19 Molecule","Protein Coding","P15391","63","GC16P104821","3.87407660484314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD19"
"OXA1L","OXA1L Mitochondrial Inner Membrane Protein","Protein Coding","Q15070","50","GC14P022766","3.86796164512634","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OXA1L"
"FH","Fumarate Hydratase","Protein Coding","P07954","59","GC01M241499","3.86744117736816","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FH"
"AK2","Adenylate Kinase 2","Protein Coding","P54819","59","GC01M033007","3.86048483848572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AK2"
"CASP3","Caspase 3","Protein Coding","P42574","62","GC04M184627","3.85191774368286","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3"
"PC","Pyruvate Carboxylase","Protein Coding","P11498","60","GC11M066848","3.8434100151062","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PC"
"MEFV","MEFV Innate Immunity Regulator, Pyrin","Protein Coding","O15553","56","GC16M027034","3.8388032913208","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEFV"
"CD55","CD55 Molecule (Cromer Blood Group)","Protein Coding","P08174","62","GC01P207321","3.83785057067871","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD55"
"TH","Tyrosine Hydroxylase","Protein Coding","P07101","63","GC11M002163","3.82513809204102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TH"
"UQCR10","Ubiquinol-Cytochrome C Reductase, Complex III Subunit X","Protein Coding","Q9UDW1","50","GC22P029767","3.82328629493713","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UQCR10"
"TCL1A","TCL1 Family AKT Coactivator A","Protein Coding","P56279","55","GC14M095709","3.81931567192078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCL1A"
"TFAM","Transcription Factor A, Mitochondrial","Protein Coding","Q00059","57","GC10P058385","3.80811452865601","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFAM"
"MMP2","Matrix Metallopeptidase 2","Protein Coding","P08253","66","GC16P105536","3.80498027801514","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2"
"IL7R","Interleukin 7 Receptor","Protein Coding","P16871","59","GC05P035852","3.80090951919556","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL7R"
"SLC2A1","Solute Carrier Family 2 Member 1","Protein Coding","P11166","66","GC01M042925","3.80013585090637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A1"
"CDK9","Cyclin Dependent Kinase 9","Protein Coding","P50750","59","GC09P146597","3.7995491027832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK9"
"ACHE","Acetylcholinesterase (Yt Blood Group)","Protein Coding","P22303","61","GC07M100889","3.79515027999878","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACHE"
"LOC117307477","CD209 Promoter Region","Functional Element","","8","GC19P132135","3.79341411590576","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117307477"
"FCN3","Ficolin 3","Protein Coding","O75636","55","GC01M032296","3.78198409080505","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCN3"
"LRBA","LPS Responsive Beige-Like Anchor Protein","Protein Coding","P50851","52","GC04M150264","3.78198409080505","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRBA"
"ERVW-1","Endogenous Retrovirus Group W Member 1, Envelope","Protein Coding","Q9UQF0","47","GC07M092468","3.77441787719727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERVW-1"
"BTK","Bruton Tyrosine Kinase","Protein Coding","Q06187","66","GC0XM101349","3.77309727668762","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTK"
"MME","Membrane Metalloendopeptidase","Protein Coding","P08473","62","GC03P155024","3.76992583274841","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MME"
"PRKN","Parkin RBR E3 Ubiquitin Protein Ligase","Protein Coding","O60260","62","GC06M161348","3.76694130897522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKN"
"IL18","Interleukin 18","Protein Coding","Q14116","56","GC11M112143","3.75876569747925","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL18"
"TKT","Transketolase","Protein Coding","P29401","58","GC03M053224","3.74812698364258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TKT"
"CARD9","Caspase Recruitment Domain Family Member 9","Protein Coding","Q9H257","58","GC09M136364","3.74788069725037","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARD9"
"COX5A","Cytochrome C Oxidase Subunit 5A","Protein Coding","P20674","56","GC15M074919","3.7462854385376","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX5A"
"TREM2","Triggering Receptor Expressed On Myeloid Cells 2","Protein Coding","Q9NZC2","56","GC06M100502","3.73460626602173","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TREM2"
"FCER2","Fc Epsilon Receptor II","Protein Coding","P06734","55","GC19M100150","3.73459053039551","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCER2"
"TUBA4A","Tubulin Alpha 4a","Protein Coding","P68366","60","GC02M219249","3.73023366928101","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBA4A"
"CXCR6","C-X-C Motif Chemokine Receptor 6","Protein Coding","O00574","51","GC03P061345","3.72163987159729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR6"
"GLUD1","Glutamate Dehydrogenase 1","Protein Coding","P00367","63","GC10M087050","3.71769905090332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLUD1"
"CSF1R","Colony Stimulating Factor 1 Receptor","Protein Coding","P07333","65","GC05M150053","3.7146909236908","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF1R"
"SLC25A4","Solute Carrier Family 25 Member 4","Protein Coding","P12235","61","GC04P185143","3.70895767211914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A4"
"SURF1","SURF1 Cytochrome C Oxidase Assembly Factor","Protein Coding","Q15526","54","GC09M133351","3.69837474822998","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SURF1"
"CTNNB1","Catenin Beta 1","Protein Coding","P35222","66","GC03P041194","3.69015979766846","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"STAT5B","Signal Transducer And Activator Of Transcription 5B","Protein Coding","P51692","62","GC17M042199","3.68901610374451","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT5B"
"DES","Desmin","Protein Coding","P17661","60","GC02P219418","3.68786811828613","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DES"
"CD3D","CD3 Delta Subunit Of T-Cell Receptor Complex","Protein Coding","P04234","59","GC11M118338","3.6819109916687","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD3D"
"MPV17","Mitochondrial Inner Membrane Protein MPV17","Protein Coding","P39210","53","GC02M027309","3.67401671409607","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPV17"
"MARS2","Methionyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","Q96GW9","54","GC02P197705","3.66785597801208","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MARS2"
"ATAD3A","ATPase Family AAA Domain Containing 3A","Protein Coding","Q9NVI7","52","GC01P059876","3.66785597801208","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATAD3A"
"DLD","Dihydrolipoamide Dehydrogenase","Protein Coding","P09622","62","GC07P109031","3.65658569335938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLD"
"FXN","Frataxin","Protein Coding","Q16595","59","GC09P069035","3.65658569335938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FXN"
"ATP5PO","ATP Synthase Peripheral Stalk Subunit OSCP","Protein Coding","P48047","56","GC21M033904","3.65427088737488","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5PO"
"VTRNA1-1","Vault RNA 1-1","RNA Gene","","18","GC05P156893","3.65088891983032","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VTRNA1-1"
"IL21","Interleukin 21","Protein Coding","Q9HBE4","56","GC04M122612","3.65083694458008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL21"
"PDHX","Pyruvate Dehydrogenase Complex Component X","Protein Coding","O00330","59","GC11P034894","3.64497852325439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDHX"
"FARS2","Phenylalanyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","O95363","56","GC06P008239","3.64497852325439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FARS2"
